vehicle_record_id,observation_id,batch_no,model_code,brand,common_name,energy_type,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,curb_weight_num,battery_capacity_kwh,battery_capacity_num,battery_mass_kg,battery_mass_num,ev_range_km,ev_range_num,battery_type,battery_chemistry,battery_chemistry_cn,motor_power_kw,motor_count,motor_total_peak_kw,single_multi_motor,cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,range_extender,seat_count,approx_energy_consumption_kwh_100km,battery_energy_density_wh_kg,km_per_kwh,battery_mass_ratio_pct,variant_count,vehicle_tax_match_flag,purchase_tax_match_flag,metric_scope,source_detail,source_tax
401:BJ7001,401:BJ7001:confirmed,401,BJ7001,极狐(ARCFOX),αS6 HI,纯电动,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,45,一、汽车生产企业,,,,,2115,2115.0,74.5,74.5,430,430.0,482,482.0,,,,,,,,,,,,,,,15.5,173.3,6.47,20.3,1,0,1,全数据,,纯电动汽车
401:BYD6476,401:BYD6476:confirmed,401,BYD6476,比亚迪,比亚迪宋pro,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,79,一、汽车生产企业,,,,,1750,1750.0,26.628,26.628,215,215.0,150,150.0,,,,,,,,,,,,,,,17.8,123.9,5.63,12.3,1,1,1,全数据,,插电式混合动力乘用车
401:BYD6490,401:BYD6490:confirmed,401,BYD6490,比亚迪,,插电式混合动力,eidc,confirmed,high,插电式混合动力多用途乘用车,passenger_vehicle,suv_mpv,in_scope,79,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,非纯电车型（tax hit=0 pur hit=0）,,
401:BYD7150,401:BYD7150:confirmed,401,BYD7150,比亚迪,比亚迪海豹06,插电式混合动力,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,,,,,1750,1750.0,25.287,25.287,195,195.0,155,155.0,,,,,,,,,,,,,,,16.3,129.7,6.13,11.1,1,1,1,全数据,,插电式混合动力乘用车
401:BYD7151,401:BYD7151:confirmed,401,BYD7151,比亚迪,比亚迪海豹07,插电式混合动力,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,,,,,1850,1850.0,17.615,17.615,175,175.0,110,110.0,,,,,,,,,,,,,,,16.0,100.7,6.24,9.5,1,1,1,全数据,,插电式混合动力乘用车
401:BYD7153,401:BYD7153:confirmed,401,BYD7153,比亚迪,比亚迪秦L,插电式混合动力,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,,,,,1720,1720.0,15.874,15.874,160,160.0,100,100.0,,,,,,,,,,,,,,,15.9,99.2,6.3,9.3,1,1,1,全数据,,插电式混合动力乘用车
401:BYD7155,401:BYD7155:confirmed,401,BYD7155,比亚迪,比亚迪秦PLUS,插电式混合动力,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,,,,,1580,1580.0,25.287,25.287,195,195.0,155,155.0,,,,,,,,,,,,,,,16.3,129.7,6.13,12.3,1,1,1,全数据,,插电式混合动力乘用车
401:BYD7156,401:BYD7156:confirmed,401,BYD7156,比亚迪,比亚迪海豹05,插电式混合动力,eidc,confirmed,high,插电式混合动力轿车,passenger_vehicle,sedan,in_scope,79,一、汽车生产企业,,,,,1580,1580.0,25.287,25.287,195,195.0,155,155.0,,,,,,,,,,,,,,,16.3,129.7,6.13,12.3,1,1,1,全数据,,插电式混合动力乘用车
401:BZL5032X,401:BZL5032X:confirmed,401,BZL5032X,京龙,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(三)145,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:BZL5033X,401:BZL5033X:confirmed,401,BZL5033X,京龙,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(三)145,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:CA6482,401:CA6482:confirmed,401,CA6482,红旗,天工06,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,1,一、汽车生产企业,,,,,2080,2080.0,74.6（1/3C）/72.5（1C）,74.6,546,546.0,610,610.0,,,,,,,,,,,,,,,12.2,136.6,8.18,26.2,1,0,1,全数据,,纯电动汽车
401:CA7009,401:CA7009:confirmed,401,CA7009,一汽,悦意08,纯电动,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,1,一、汽车生产企业,,,,,1740,1740.0,59.04,59.04,416,416.0,565,565.0,,,,,,,,,,,,,,,10.4,141.9,9.57,23.9,1,0,1,全数据,,纯电动汽车
401:CAA5071X,401:CAA5071X:confirmed,401,CAA5071X,同锐通,,插电式混合动力,eidc,confirmed,high,插电式混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十七)186,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,非纯电车型（tax hit=0 pur hit=0）,,
