标签类型,标签,2023_pct,2024_pct,2025_pct,2026_pct,大盘_pct,2023_tgi,2024_tgi,2025_tgi,2026_tgi,大盘_tgi,Δ2023→2024_pct,Δ2023→2024_tgi,Δ2024→2025_pct,Δ2024→2025_tgi,Δ2025→2026_pct,Δ2025→2026_tgi,Δ23→26_pct,Δ23→26_tgi,2023_大盘差_pct,2023_大盘差_tgi,2024_大盘差_pct,2024_大盘差_tgi,2025_大盘差_pct,2025_大盘差_tgi,2026_大盘差_pct,2026_大盘差_tgi
地域分布,香港,0.024,0.007,0.0049,0.0,0.015,213.55899071177288,62.62601120747928,43.796621089695655,,135.42620388693555,-0.017,-150.9329795042936,-0.0021000000000000003,-18.829390117783625,-0.0049,,-0.024,,0.009000000000000001,78.13278682483732,-0.008,-72.80019267945627,-0.0101,-91.62958279723989,-0.015,
地域分布,黑龙江,0.41,0.25,0.54,1.09,1.49,28.50688994255528,17.702732629732427,37.48436532350718,76.26744363926964,104.21121253351112,-0.15999999999999998,-10.804157312822852,0.29000000000000004,19.78163269377475,0.55,38.78307831576247,0.6800000000000002,47.76055369671437,-1.08,-75.70432259095584,-1.24,-86.50847990377869,-0.95,-66.72684721000394,-0.3999999999999999,-27.943768894241472
城市,七台河,0.0,0.0,0.0049,0.0095,0.031,,,16.8083679028282,32.41479138187031,105.80061662721268,0.0,,0.0049,,0.0046,15.60642347904211,0.0095,,-0.031,,-0.031,,-0.026099999999999998,-88.99224872438448,-0.0215,-73.38582524534237
城市,万宁,0.048,0.042,0.0,0.0095,0.04,155.58694413073482,136.87725823755315,,30.76688916700032,130.22957975347887,-0.005999999999999998,-18.70968589318167,-0.042,,0.0095,,-0.0385,-124.8200549637345,0.008,25.357364377255948,0.0020000000000000018,6.647678484074277,-0.04,,-0.0305,-99.46269058647856
城市,三亚,0.18,0.18,0.13,0.15,0.11,201.19898378142992,204.538355141484,148.54260294533603,169.75592205481,128.138758862441,0.0,3.3393713600540877,-0.04999999999999999,-55.995752196147976,0.01999999999999999,21.213319109473957,-0.03,-31.44306172661993,0.06999999999999999,73.06022491898892,0.06999999999999999,76.39959627904301,0.020000000000000004,20.403844082895034,0.039999999999999994,41.61716319236899
城市,三明,0.048,0.18,0.089,0.076,0.14,38.07077330794629,139.55281558941013,70.26789669881667,60.22712352436744,114.83402560354156,0.132,101.48204228146383,-0.091,-69.28491889059346,-0.012999999999999998,-10.040773174449228,0.027999999999999997,22.156350216421153,-0.09200000000000001,-76.76325229559527,0.03999999999999998,24.71878998586857,-0.05100000000000002,-44.56612890472489,-0.06400000000000002,-54.60690207917412
城市,三沙,0.0,0.0,0.0,0.0,0.0018,,,,,152.85583652772564,0.0,,0.0,,0.0,,0.0,,-0.0018,,-0.0018,,-0.0018,,-0.0018,
城市,三门峡,0.096,0.063,0.059,0.086,0.14,88.90924273275465,58.66327720440401,54.70045165076122,79.1170091143336,129.11015316786327,-0.033,-30.245965528350638,-0.0040000000000000036,-3.9628255536427943,0.026999999999999996,24.41655746357238,-0.010000000000000009,-9.79223361842105,-0.04400000000000001,-40.200910435108625,-0.07700000000000001,-70.44687596345926,-0.08100000000000002,-74.40970151710206,-0.05400000000000002,-49.993144053529676
城市,上海,16.45,9.99,8.99,6.97,2.09,911.5933343935476,554.5947378702475,498.0756542516367,386.1127428673309,116.25979752566238,-6.459999999999999,-356.9985965233001,-1.0,-56.51908361861081,-2.0200000000000005,-111.96291138430581,-9.48,-525.4805915262167,14.36,795.3335368678852,7.9,438.3349403445851,6.9,381.8158567259743,4.88,269.8529453416685
城市,上饶,0.18,0.35,0.44,0.43,0.36,61.783537119316534,120.78650104048992,152.04661657805917,146.61028914852955,124.14315488195926,0.16999999999999998,59.00296392117339,0.09000000000000002,31.26011553756925,-0.010000000000000009,-5.436327429529626,0.25,84.82675202921301,-0.18,-62.35961776264273,-0.010000000000000009,-3.3566538414693383,0.08000000000000002,27.90346169609991,0.07,22.467134266570284
城市,东方,0.0,0.0,0.015,0.0095,0.033,,,58.684714827236064,37.72432079518624,131.34803884797455,0.0,,0.015,,-0.0055,-20.960394032049827,0.0095,,-0.033,,-0.033,,-0.018000000000000002,-72.66332402073849,-0.0235,-93.62371805278832
城市,东莞,1.17,0.88,0.93,0.64,1.43,99.25180307537076,75.01421541659646,79.3197281395157,54.22654081290245,121.99920196196724,-0.2899999999999999,-24.237587658774302,0.050000000000000044,4.3055127229192465,-0.29000000000000004,-25.093187326613254,-0.5299999999999999,-45.02526226246831,-0.26,-22.747398886596486,-0.5499999999999999,-46.98498654537079,-0.4999999999999999,-42.67947382245154,-0.7899999999999999,-67.77266114906479
城市,东营,0.16,0.3,0.37,0.38,0.17,117.4386758723276,222.52764474914545,274.190406397919,285.8236838608614,127.65860313565904,0.13999999999999999,105.08896887681786,0.07,51.66276164877354,0.010000000000000009,11.63327746294243,0.22,168.38500798853383,-0.010000000000000009,-10.219927263331442,0.12999999999999998,94.86904161348642,0.19999999999999998,146.53180326225996,0.21,158.1650807252024
城市,中卫,0.036,0.042,0.049,0.057,0.057,71.44928979799239,83.80979903945267,97.68534248955643,113.03120027493205,113.97765712314016,0.006000000000000005,12.360509241460278,0.006999999999999999,13.875543450103763,0.008,15.345857785375614,0.021000000000000005,41.581910476939655,-0.021000000000000005,-42.52836732514777,-0.015,-30.16785808368749,-0.008,-16.29231463358373,0.0,-0.9464568482081148
城市,中山,0.54,0.44,0.55,0.49,0.52,126.76282392349364,102.4325462750168,128.24933221366655,115.86523926406052,123.09978506872324,-0.10000000000000003,-24.330277648476837,0.11000000000000004,25.816785938649744,-0.06000000000000005,-12.384092949606028,-0.050000000000000044,-10.897584659433122,0.020000000000000018,3.663038854770406,-0.08000000000000002,-20.66723879370643,0.030000000000000027,5.149547144943313,-0.030000000000000027,-7.234545804662716
城市,临夏,0.024,0.021,0.0099,0.048,0.086,32.06634089701409,28.2102900613945,13.152313347415696,63.410304886551984,114.41002179253562,-0.002999999999999999,-3.8560508356195946,-0.0111,-15.057976713978803,0.0381,50.257991539136285,0.024,31.34396398953789,-0.06199999999999999,-82.34368089552152,-0.06499999999999999,-86.19973173114111,-0.07609999999999999,-101.25770844511992,-0.03799999999999999,-50.99971690598363
