body_type,fuel_type_group,price_bucket,freeze,top3_price,top3_price_position,position_delta
轿车,其他能源,30-35万,2023-03,311608.6949173113,62315.73898346226,
轿车,其他能源,35-40万,2023-03,387454.96939221735,77483.99387844346,
轿车,其他能源,40-45万,2023-03,425240.2275229493,85040.04550458986,
轿车,其他能源,45-50万,2023-03,461657.84524597303,92322.5690491946,
轿车,其他能源,5-10万,2023-03,84664.91484932597,16931.982969865196,
轿车,其他能源,50-55万,2023-03,515414.0385249397,103072.80770498794,
轿车,其他能源,55-60万,2023-03,575629.2022770166,115114.84045540332,
轿车,其他能源,5万以下,2023-03,45841.84281712896,9168.368563425793,
轿车,其他能源,60万以上,2023-03,1148251.1383463733,114819.11383463733,
轿车,新能源,10-15万,2023-03,129345.01878476214,25867.00375695243,
轿车,新能源,15-20万,2023-03,170336.36275310974,34064.27255062195,
轿车,新能源,20-25万,2023-03,234644.87372215628,46924.97474443125,
轿车,新能源,25-30万,2023-03,270750.1689109382,54145.03378218764,
轿车,新能源,30-35万,2023-03,326341.0803922198,65262.21607844396,
轿车,新能源,35-40万,2023-03,384172.29602662753,76827.4592053255,
轿车,新能源,40-45万,2023-03,443077.8140088932,88607.56280177864,
轿车,新能源,45-50万,2023-03,468403.75624397676,93671.75124879535,
轿车,新能源,5-10万,2023-03,66359.26548619242,13270.853097238485,
轿车,新能源,50-55万,2023-03,505521.0257358443,101094.20514716886,
轿车,新能源,55-60万,2023-03,554485.09624874,110886.019249748,
轿车,新能源,5万以下,2023-03,48508.33219713351,9701.666439426703,
轿车,新能源,60万以上,2023-03,1109494.0920919636,110943.40920919637,
MPV,其他能源,10-15万,2024-03,118493.93211108245,23696.78642221649,-570.3348361555509
MPV,其他能源,15-20万,2024-03,182281.68672664565,36453.33734532913,-1193.8511281967585
MPV,其他能源,20-25万,2024-03,235560.5760880377,47108.11521760754,4175.584980543332
MPV,其他能源,25-30万,2024-03,274609.9693186079,54916.993863721575,-1767.7422091133412
MPV,其他能源,30-35万,2024-03,331392.03266346594,66272.40653269319,3451.2439980479685
MPV,其他能源,35-40万,2024-03,363208.0183503656,72634.60367007312,-2632.4994271210453
MPV,其他能源,40-45万,2024-03,426364.5381201676,85264.90762403353,-4404.77956725203
MPV,其他能源,45-50万,2024-03,491782.99678881175,98347.59935776234,3716.170632542635
MPV,其他能源,5-10万,2024-03,62747.74995368607,12548.549990737214,135.63615351781118
MPV,其他能源,50-55万,2024-03,522035.8485267994,104397.16970535988,-324.41608166277
MPV,其他能源,55-60万,2024-03,555858.1410000001,111160.6282,-5134.190182978971
MPV,其他能源,5万以下,2024-03,45706.834238499636,9141.366847699926,88.18224346615898
MPV,其他能源,60万以上,2024-03,1158089.6352302274,115802.96352302274,962.6001515105891
MPV,新能源,10-15万,2024-03,142524.74104714053,28502.948209428105,893.3889194351214
MPV,新能源,15-20万,2024-03,157928.10370767314,31582.62074153463,-1787.9144815017135
MPV,新能源,20-25万,2024-03,226103.54378158133,45216.708756316264,1621.364517094531
MPV,新能源,25-30万,2024-03,284495.48255133635,56894.09651026727,-2502.579660329102
MPV,新能源,30-35万,2024-03,331330.5244176743,66260.10488353486,4422.774367673235
MPV,新能源,35-40万,2024-03,377677.05353978433,75528.41070795686,-4070.978455368182
MPV,新能源,40-45万,2024-03,412002.8836192035,82392.5767238407,373.94676738824637
MPV,新能源,5-10万,2024-03,99176.45076923075,19834.290153846152,
MPV,新能源,50-55万,2024-03,519173.7761270796,103824.75522541592,2343.7566951406916
MPV,新能源,55-60万,2024-03,559800.0,111949.0,
MPV,新能源,60万以上,2024-03,818000.0,81794.0,
SUV,其他能源,10-15万,2024-03,114430.17504968507,22884.035009937015,-2263.500612537293
SUV,其他能源,15-20万,2024-03,172423.03297887847,34481.606595775695,-1293.1027745131796
SUV,其他能源,20-25万,2024-03,220808.37620265677,44157.67524053135,46.863853657800064
SUV,其他能源,25-30万,2024-03,273355.8310040557,54666.16620081114,-1063.6974497565388
SUV,其他能源,30-35万,2024-03,331288.9312622834,66251.78625245669,-207.4063803729514
SUV,其他能源,35-40万,2024-03,360168.52990134974,72026.70598026995,-4091.685024028833
SUV,其他能源,40-45万,2024-03,436965.5806587728,87385.11613175456,5618.163255590771
SUV,其他能源,45-50万,2024-03,471924.3830883083,94375.87661766166,1263.3711092323065
SUV,其他能源,5-10万,2024-03,86678.34728688675,17334.66945737735,-289.85192602510506
SUV,其他能源,50-55万,2024-03,516226.1213273081,103235.22426546163,-2661.305406480067
SUV,其他能源,55-60万,2024-03,572856.4969590104,114560.29939180208,-10.960186469601467
SUV,其他能源,60万以上,2024-03,707099.3723784168,70703.93723784169,-2648.702774638572
SUV,新能源,10-15万,2024-03,136765.66640203696,27351.133280407394,1015.9532177610054
SUV,新能源,15-20万,2024-03,164814.97722008522,32959.99544401704,190.96320173611457
SUV,新能源,20-25万,2024-03,221210.64039895963,44238.128079791924,247.53368689749186
SUV,新能源,25-30万,2024-03,272332.5598949867,54461.51197899734,-1230.1808655243367
SUV,新能源,30-35万,2024-03,329845.8994100763,65963.17988201526,-694.9422254668752
SUV,新能源,35-40万,2024-03,360703.65340173827,72133.73068034765,-2642.4926788541197
SUV,新能源,40-45万,2024-03,422563.4014649979,84504.68029299958,3005.9093867519405
SUV,新能源,45-50万,2024-03,460707.28385229287,92132.45677045858,-628.8727922298131
SUV,新能源,5-10万,2024-03,81182.22777077444,16235.445554154887,155.59052909976344
SUV,新能源,50-55万,2024-03,530053.1255681581,106000.62511363163,1762.0191490422585
SUV,新能源,55-60万,2024-03,568533.4721373724,113695.69442747447,276.8324099092715
SUV,新能源,5万以下,2024-03,45512.71041359174,9102.542082718348,
SUV,新能源,60万以上,2024-03,921580.1439367551,92152.01439367552,11454.044190845278
跑车,其他能源,25-30万,2024-03,283611.1082940963,56717.22165881926,
跑车,其他能源,30-35万,2024-03,311217.4855685717,62237.497113714344,1177.3272159739063
跑车,其他能源,35-40万,2024-03,358213.92569069716,71635.78513813943,-257.1294840040209
跑车,其他能源,40-45万,2024-03,439617.02580000024,87915.40516000005,
跑车,其他能源,45-50万,2024-03,467647.0122209846,93520.40244419692,-4167.064140068556
跑车,其他能源,50-55万,2024-03,535955.4259277803,107181.08518555606,7054.741467486572
跑车,其他能源,55-60万,2024-03,557958.2755436425,111580.65510872849,-6264.285676478321
跑车,其他能源,60万以上,2024-03,1152467.0017006993,115240.70017006993,6601.135168370645
跑车,新能源,15-20万,2024-03,190224.16338605582,38041.83267721116,
跑车,新能源,20-25万,2024-03,209030.73493182962,41802.14698636592,
跑车,新能源,30-35万,2024-03,340010.75746319623,67996.15149263924,
