price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
35-40万,轿车,其他能源,101447.0,奔驰E级（52.0%）、宝马5系（25.7%）、宝马4系（8.6%）,奔驰E级,87631.0,86.38106597533688,奔驰CLE（5.1%）、奔驰CLA级AMG（0.7%）、沃尔沃V90（0.7%）,6.495017102526443,3,100.0
35-40万,轿车,新能源,2753.0,享界享界S9（34.5%）、蔚来蔚来ET7（20.1%）、享界享界S9T（16.8%）,享界享界S9,1966.0,71.41300399564112,无满足9个月暴露期车型,0.0,0,100.0
40-45万,MPV,新能源,8188.0,极氪极氪009（94.8%）、吉利银河翼真L380（5.2%）,极氪极氪009,8188.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
40-45万,SUV,其他能源,20125.0,雷克萨斯RX（74.9%）、奔驰GLC级（11.7%）、大众途锐（10.1%）,雷克萨斯RX,19471.0,96.75031055900621,雷克萨斯RX（74.9%）、奥迪SQ5（0.3%）,75.25465838509317,2,100.0
40-45万,SUV,新能源,172921.0,蔚来蔚来ES8（57.7%）、AITO问界M8（23.0%）、腾势腾势N9（6.3%）,蔚来蔚来ES8,150597.0,87.0900584660047,蔚来蔚来ES8（57.7%）、腾势腾势N9（6.3%）、坦克坦克700（5.1%）,69.17667605438321,3,100.0
40-45万,跑车,其他能源,241.0,宝马Z4（90.5%）、福特Mustang（9.1%）、捷豹F-TYPE（0.4%）,宝马Z4,241.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
40-45万,轿车,其他能源,77549.0,奔驰E级（97.7%）、奥迪A6（1.7%）、奥迪S4（0.5%）,奔驰E级,77453.0,99.8762073011902,奥迪A6（1.7%）,1.6866755212833175,1,100.0
40-45万,轿车,新能源,6541.0,奔驰E级（90.1%）、享界享界S9（9.9%）,奔驰E级,6541.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
45-50万,MPV,其他能源,2593.0,奔驰V级（100.0%）,奔驰V级,2593.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
45-50万,MPV,新能源,35867.0,别克至境世家（42.0%）、智界智界V9（36.9%）、极氪极氪009（21.1%）,别克至境世家,35867.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
45-50万,SUV,其他能源,33118.0,丰田普拉多（60.6%）、沃尔沃XC90（16.3%）、保时捷Macan（9.5%）,丰田普拉多,28595.0,86.3427743221209,丰田普拉多（60.6%）、沃尔沃XC90（16.3%）、保时捷Macan（9.5%）,86.3427743221209,3,100.0
45-50万,SUV,新能源,54512.0,极氪极氪9X（45.7%）、AITO问界M9（26.6%）、理想理想L9（24.0%）,极氪极氪9X,52511.0,96.32924860581157,宝马iX（0.7%）、雷克萨斯RX（0.3%）,0.994276489580276,2,100.0
45-50万,跑车,其他能源,991.0,奔驰CLE（100.0%）,奔驰CLE,991.0,100.0,奔驰CLE（100.0%）,100.0,1,100.0
45-50万,轿车,其他能源,60.0,奥迪A7（80.0%）、奔驰C级AMG（15.0%）、宝马6系（5.0%）,奥迪A7,60.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
45-50万,轿车,新能源,177.0,宝马i5（70.6%）、沃尔沃ES90（29.4%）,宝马i5,177.0,100.0,宝马i5（70.6%）,70.62146892655367,1,100.0
5-10万,MPV,其他能源,86263.0,五菱五菱宏光（37.4%）、五菱星光730（28.6%）、北京汽车制造厂王牌M7（9.6%）,五菱五菱宏光,65235.0,75.62338430149659,五菱五菱宏光（37.4%）、五菱星光730（28.6%）、北京汽车制造厂王牌M7（9.6%）,75.62338430149659,3,100.0
5-10万,MPV,新能源,9621.0,五菱星光730（97.1%）、东风风光风光（1.1%）、东风风行菱智（1.0%）,五菱星光730,9542.0,99.17887953435194,无满足9个月暴露期车型,0.0,0,100.0
5-10万,SUV,其他能源,1237097.0,吉利缤越（10.7%）、丰田锋兰达（10.7%）、大众途岳（7.9%）,吉利缤越,362974.0,29.340787343272197,吉利缤越（10.7%）、丰田锋兰达（10.7%）、大众途岳（7.9%）,29.340787343272197,3,100.0
5-10万,SUV,新能源,470288.0,比亚迪元（43.8%）、启源Q05（18.9%）、零跑零跑A10（16.3%）,比亚迪元,371483.0,78.9905334603477,比亚迪元（43.8%）、奔腾悦意03（6.4%）、埃安AION Y（5.0%）,55.22637192528833,3,100.0
5-10万,轿车,其他能源,1137288.0,日产轩逸（21.9%）、大众朗逸（17.6%）、长安逸动（11.8%）,日产轩逸,583109.0,51.27188539754223,日产轩逸（21.9%）、大众朗逸（17.6%）、长安逸动（11.8%）,51.27188539754223,3,100.0
5-10万,轿车,新能源,1892310.0,吉利银河星愿（21.9%）、比亚迪秦（16.1%）、五菱五菱缤果（9.8%）,吉利银河星愿,904511.0,47.799303496784354,吉利银河星愿（21.9%）、比亚迪秦（16.1%）、五菱五菱缤果（9.8%）,47.799303496784354,3,100.0
50-55万,MPV,其他能源,4204.0,别克世纪（62.2%）、奔驰V级（37.8%）,别克世纪,4204.0,100.0,别克世纪（62.2%）,62.226450999048524,1,100.0
50-55万,MPV,新能源,13166.0,理想理想MEGA（100.0%）,理想理想MEGA,13166.0,100.0,理想理想MEGA（100.0%）,100.0,1,100.0
50-55万,SUV,其他能源,10396.0,奥迪Q7（68.7%）、保时捷Macan（13.6%）、奔驰AMG GLC（9.0%）,奥迪Q7,9484.0,91.22739515198153,奥迪Q7（68.7%）、奔驰AMG GLC（9.0%）,77.645248172374,2,100.0
50-55万,SUV,新能源,109214.0,AITO问界M9（59.6%）、极氪极氪9X（38.5%）、莲花跑车FOR ME（0.8%）,AITO问界M9,107965.0,98.85637372498032,AITO问界M9（59.6%）,59.60774259710293,1,100.0
50-55万,跑车,其他能源,830.0,保时捷718（99.0%）、丰田SUPRA（1.0%）,保时捷718,830.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
50-55万,轿车,其他能源,1104.0,奥迪A7（75.5%）、宝马M2（13.8%）、奥迪S5（6.3%）,奥迪A7,1056.0,95.65217391304348,奥迪A7（75.5%）、奥迪S5（6.3%）,81.88405797101449,2,100.0
50-55万,轿车,新能源,3449.0,小米小米SU7（100.0%）,小米小米SU7,3449.0,100.0,小米小米SU7（100.0%）,100.0,1,100.0
55-60万,MPV,其他能源,1050.0,别克世纪（100.0%）,别克世纪,1050.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,MPV,新能源,40.0,沃尔沃EM90（100.0%）,沃尔沃EM90,40.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,SUV,其他能源,72886.0,宝马X5（87.6%）、奔驰GLE级（9.4%）、路虎发现（1.4%）,宝马X5,71691.0,98.3604533106495,宝马X5（87.6%）、路虎发现（1.4%）、捷尼赛思GV80（0.0%）,88.98828307219493,3,100.0
55-60万,SUV,新能源,18234.0,蔚来蔚来ES9（95.6%）、沃尔沃XC90（2.2%）、莲花跑车ELETRE（2.0%）,蔚来蔚来ES9,18215.0,99.89579905670725,无满足9个月暴露期车型,0.0,0,100.0
55-60万,跑车,其他能源,957.0,保时捷718（100.0%）,保时捷718,957.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
55-60万,轿车,其他能源,725.0,奔驰C级AMG（75.3%）、宝马M2（22.6%）、玛莎拉蒂Ghibli（2.1%）,奔驰C级AMG,725.0,100.0,奔驰C级AMG（75.3%）,75.3103448275862,1,100.0
55-60万,轿车,新能源,1270.0,莲花跑车EMEYA（54.3%）、宝马i7（41.7%）、奔驰EQS（4.1%）,莲花跑车EMEYA,1270.0,100.0,莲花跑车EMEYA（54.3%）、宝马i7（41.7%）,95.90551181102363,2,100.0
5万以下,MPV,其他能源,603.0,东风风光风光（100.0%）,东风风光风光,603.0,100.0,东风风光风光（100.0%）,100.0,1,100.0
5万以下,SUV,其他能源,13530.0,奇瑞瑞虎3x（100.0%）,奇瑞瑞虎3x,13530.0,100.0,奇瑞瑞虎3x（100.0%）,100.0,1,100.0
5万以下,SUV,新能源,442.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
5万以下,跑车,其他能源,4.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
5万以下,轿车,其他能源,44348.0,荣威荣威i5（71.2%）、奇瑞艾瑞泽5（28.8%）,荣威荣威i5,44347.0,99.99774510688194,奇瑞艾瑞泽5（28.8%）,28.756651934698297,1,99.99774510688194
5万以下,轿车,新能源,611369.0,五菱宏光MINI EV（50.1%）、吉利银河熊猫mini（16.6%）、启源Lumin（14.9%）,五菱宏光MINI EV,498531.0,81.54338868997283,五菱宏光MINI EV（50.1%）、吉利银河熊猫mini（16.6%）、启源Lumin（14.9%）,81.54338868997283,3,100.0
60万以上,MPV,其他能源,14650.0,丰田埃尔法（72.1%）、雷克萨斯LM（27.9%）,丰田埃尔法,14650.0,100.0,丰田埃尔法（72.1%）、雷克萨斯LM（27.9%）,100.0,2,100.0
60万以上,MPV,新能源,656.0,沃尔沃EM90（100.0%）,沃尔沃EM90,656.0,100.0,沃尔沃EM90（100.0%）,100.0,1,100.0
60万以上,SUV,其他能源,98899.0,奔驰GLE级（24.5%）、保时捷卡宴（14.5%）、路虎揽胜（14.2%）,奔驰GLE级,52598.0,53.18355089535789,奔驰GLE级（24.5%）、保时捷卡宴（14.5%）、路虎揽胜（14.2%）,53.18355089535789,3,100.0
60万以上,SUV,新能源,5722.0,仰望U8L（43.5%）、仰望U8（15.4%）、奔驰EQS SUV（10.2%）,仰望U8L,3959.0,69.18909472212513,仰望U8L（43.5%）、仰望U8（15.4%）、奔驰EQS SUV（10.2%）,69.18909472212513,3,100.0
60万以上,跑车,其他能源,2954.0,保时捷911（45.3%）、奔驰AMG GT（28.0%）、保时捷718（13.4%）,保时捷911,2560.0,86.66215301286393,保时捷911（45.3%）、奔驰AMG GT（28.0%）、宾利欧陆（3.0%）,76.26946513202438,3,100.0
60万以上,跑车,新能源,241.0,兰博基尼Revuelto（37.8%）、法拉利296（26.1%）、仰望U9（14.1%）,兰博基尼Revuelto,188.0,78.00829875518673,兰博基尼Revuelto（37.8%）、仰望U9（14.1%）,51.867219917012456,2,100.0
60万以上,轿车,其他能源,44362.0,梅赛德斯-迈巴赫S级（20.3%）、保时捷PANAMERA（19.3%）、宝马7系（18.9%）,梅赛德斯-迈巴赫S级,25931.0,58.45318065010595,梅赛德斯-迈巴赫S级（20.3%）、保时捷PANAMERA（19.3%）、宝马7系（18.9%）,58.45318065010595,3,100.0
60万以上,轿车,新能源,24237.0,尊界尊界S800（77.3%）、仰望U7（9.6%）、蔚来蔚来ET9（6.1%）,尊界尊界S800,22542.0,93.00656021784874,尊界尊界S800（77.3%）、仰望U7（9.6%）、蔚来蔚来ET9（6.1%）,93.00656021784874,3,100.0
其他,MPV,其他能源,21831.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,MPV,新能源,46201.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,SUV,其他能源,114288.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,SUV,新能源,53719.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,跑车,其他能源,929.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,跑车,新能源,547.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,轿车,其他能源,13515.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
其他,轿车,新能源,186314.0,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0
