price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
20-25万,SUV,其他能源,511457.0,坦克坦克300（18.1%）、宝马X1（14.0%）、奥迪Q3（11.1%）,坦克坦克300,221069.0,43.22337948253715,坦克坦克300（18.1%）、宝马X1（14.0%）、奥迪Q3（11.1%）,43.22337948253715,3,100.0
20-25万,SUV,新能源,411742.0,比亚迪唐（22.4%）、小鹏G6（11.7%）、领克领克08（10.6%）,比亚迪唐,184064.0,44.703722233826035,比亚迪唐（22.4%）、小鹏G6（11.7%）、比亚迪护卫舰07（8.0%）,42.13075178145538,3,100.0
20-25万,跑车,新能源,9038.0,哪吒哪吒GT（100.0%）,哪吒哪吒GT,9038.0,100.0,哪吒哪吒GT（100.0%）,100.0,1,100.0
20-25万,轿车,其他能源,313359.0,凯迪拉克CT5（28.0%）、奥迪A4（25.8%）、大众CC（11.9%）,凯迪拉克CT5,205939.0,65.7198293331291,凯迪拉克CT5（28.0%）、大众CC（11.9%）、丰田亚洲龙（6.5%）,46.45279056928315,3,100.0
20-25万,轿车,新能源,376862.0,比亚迪汉（42.6%）、特斯拉MODEL 3（22.1%）、比亚迪海豹（9.2%）,比亚迪汉,278572.0,73.91883501122427,比亚迪汉（42.6%）、极狐阿尔法S（2.2%）、飞凡F7（2.1%）,46.97448933561888,3,100.0
25-30万,MPV,其他能源,204132.0,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,别克GL8,161296.0,79.01553896498345,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,79.01553896498345,3,100.0
25-30万,MPV,新能源,3516.0,荣威iMAX8（63.0%）、迈克萨斯大家9（28.6%）、迈克萨斯大家7（8.4%）,荣威iMAX8,3516.0,100.0,荣威iMAX8（63.0%）,62.99772468714448,1,100.0
25-30万,SUV,其他能源,337726.0,丰田汉兰达（19.9%）、奔驰GLB级（17.8%）、大众揽巡（10.3%）,丰田汉兰达,162141.0,48.00962910761979,丰田汉兰达（19.9%）、奔驰GLB级（17.8%）、大众揽巡（10.3%）,48.00962910761979,3,100.0
25-30万,SUV,新能源,767083.0,特斯拉MODEL Y（60.5%）、AITO问界M7（16.3%）、AITO问界M5（4.0%）,特斯拉MODEL Y,619934.0,80.81706933930226,特斯拉MODEL Y（60.5%）、AITO问界M5（4.0%）、比亚迪唐（2.9%）,67.41539051184813,3,100.0
25-30万,跑车,其他能源,251.0,福特Mustang（97.2%）、斯巴鲁BRZ（2.8%）,福特Mustang,251.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
25-30万,轿车,其他能源,452600.0,奔驰C级（30.1%）、宝马3系（28.9%）、雷克萨斯ES（19.1%）,奔驰C级,353142.0,78.02518780380026,奔驰C级（30.1%）、宝马3系（28.9%）、雷克萨斯ES（19.1%）,78.02518780380026,3,100.0
25-30万,轿车,新能源,216289.0,特斯拉MODEL 3（24.0%）、蔚来蔚来ET5（21.7%）、极氪极氪001（21.7%）,特斯拉MODEL 3,145848.0,67.43200070276343,蔚来蔚来ET5（21.7%）、比亚迪汉（2.6%）,24.36092450378891,2,100.0
30-35万,MPV,其他能源,142720.0,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,丰田赛那,115915.0,81.2184697309417,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,81.2184697309417,3,100.0
30-35万,MPV,新能源,5657.0,岚图梦想家（43.0%）、迈克萨斯大家9（26.4%）、广汽传祺E9（19.0%）,岚图梦想家,5000.0,88.386070355312,无满足9个月暴露期车型,0.0,0,100.0
30-35万,SUV,其他能源,380582.0,奥迪Q5（38.2%）、沃尔沃XC60（14.8%）、宝马X3（10.9%）,奥迪Q5,243238.0,63.912113552401316,奥迪Q5（38.2%）、沃尔沃XC60（14.8%）、大众途昂（8.8%）,61.81874077071433,3,100.0
30-35万,SUV,新能源,432092.0,理想理想L7（35.1%）、理想理想L8（17.0%）、蔚来蔚来ES6（14.2%）,理想理想L7,286376.0,66.27662627403423,理想理想L7（35.1%）、蔚来蔚来ES6（14.2%）、坦克坦克500（7.0%）,56.32527332142229,3,100.0
30-35万,跑车,其他能源,1338.0,斯巴鲁BRZ（54.0%）、福特Mustang（45.3%）、丰田86（0.7%）,斯巴鲁BRZ,1338.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
30-35万,跑车,新能源,765.0,MGCyberster（100.0%）,MGCyberster,765.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
30-35万,轿车,其他能源,121308.0,沃尔沃S90（30.6%）、宝马3系（21.5%）、奔驰C级（21.3%）,沃尔沃S90,89006.0,73.37191281696178,沃尔沃S90（30.6%）、奥迪A5（10.9%）、凯迪拉克CT6（6.9%）,48.400764994889045,3,100.0
