body_type,fuel_type_group,price_bucket,sales,growth_pct,share_pct,freeze,share_delta_pp
SUV,其他能源,30-35万,380582.0,5.627145739605388,5.473164979291302,2024-03,0.0683405434192057
SUV,其他能源,35-40万,124741.0,-66.16624354467734,1.7939053152323976,2024-03,-3.736639224875931
SUV,其他能源,40-45万,115099.0,175.76548948200679,1.655243327197423,2024-03,1.0291479077233923
SUV,其他能源,45-50万,57394.0,11.565974652048826,0.8253854118729866,2024-03,0.05369408120496155
SUV,其他能源,5-10万,1048526.0,15.12914237778331,15.07889438564197,2024-03,1.4172547230716717
SUV,其他能源,50-55万,33379.0,-25.16758210962896,0.4800247353888633,2024-03,-0.18907743015905792
SUV,其他能源,55-60万,17009.0,-6.912215411558664,0.24460710998619417,2024-03,-0.02948401811360668
SUV,其他能源,60万以上,281912.0,5.2987009106325145,4.0541877588587205,2024-03,0.038134707104819476
SUV,新能源,10-15万,791600.0,573.2895587384752,21.633439459983876,2024-03,16.559254997073516
SUV,新能源,15-20万,873501.0,-5.264716217447319,23.871691513056312,2024-03,-15.921978229056762
SUV,新能源,20-25万,411742.0,58.49153925508492,11.252394681825013,2024-03,0.04043747049445656
SUV,新能源,25-30万,767083.0,152.55590528367486,20.963420466501784,2024-03,7.8550962179490895
SUV,新能源,30-35万,432092.0,42.77519676973811,11.80853476900373,2024-03,-1.2527471474922454
SUV,新能源,35-40万,80355.0,-25.256029839917403,2.19600180369758,2024-03,-2.4437963544872248
SUV,新能源,40-45万,97707.0,328.9345449756355,2.6702102947405817,2024-03,1.6871118709608122
SUV,新能源,45-50万,41383.0,-48.67097478387061,1.130945711435716,2024-03,-2.3485900109575555
SUV,新能源,5-10万,94158.0,-40.36707706338349,2.573220556686662,2024-03,-4.241271243705387
SUV,新能源,50-55万,25635.0,93.72024484243934,0.7005725373379064,2024-03,0.1294613629282445
SUV,新能源,55-60万,3582.0,-3.398058252427183,0.09789158684393917,2024-03,-0.062138658354506104
SUV,新能源,5万以下,14286.0,,0.3904185398248227,2024-03,
SUV,新能源,60万以上,26026.0,1.8789634385030896,0.7112580790620773,2024-03,-0.39125881517726535
跑车,其他能源,25-30万,251.0,,1.7387087835965642,2024-03,
跑车,其他能源,30-35万,1338.0,-65.90214067278288,9.268495428096426,2024-03,-9.57786161527325
跑车,其他能源,35-40万,104.0,-87.12871287128714,0.7204211692989747,2024-03,-3.1602762035457492
跑车,其他能源,40-45万,78.0,,0.5403158769742311,2024-03,
跑车,其他能源,45-50万,1111.0,-14.406779661016945,7.696037683568855,2024-03,1.461947101944534
跑车,其他能源,50-55万,1833.0,607.7220077220077,12.697423108894432,2024-03,11.453486698539502
跑车,其他能源,55-60万,2556.0,-30.202075368651016,17.70573566084788,2024-03,0.11772355768280462
跑车,其他能源,60万以上,7165.0,-34.08463661453543,49.63286228872264,2024-03,-2.5740441999186388
跑车,新能源,15-20万,43.0,,0.43584025947699173,2024-03,
跑车,新能源,20-25万,9038.0,,91.60754105007095,2024-03,
跑车,新能源,30-35万,765.0,,7.753902290695318,2024-03,
跑车,新能源,60万以上,20.0,,0.2027163997567403,2024-03,
轿车,其他能源,10-15万,2186322.0,-1.6231145332465835,32.78200404091899,2024-03,0.12971221820684065
轿车,其他能源,15-20万,1224777.0,-11.829140555541562,18.364469901151175,2024-03,-2.044663362109226
轿车,其他能源,20-25万,313359.0,9.826441704460231,4.698546693606127,2024-03,0.5064829967819469
轿车,其他能源,25-30万,452600.0,112.14067091947935,6.78634484258034,2024-03,3.6517369341339467
轿车,其他能源,30-35万,121308.0,-71.7944783136396,1.8189083521072382,2024-03,-4.500085301071711
轿车,其他能源,35-40万,306118.0,111.02417570297045,4.589974172604968,2024-03,2.4586511899663845
轿车,其他能源,40-45万,208998.0,-3.3459277723566716,3.1337439226902477,2024-03,-0.04323685466089566
轿车,其他能源,45-50万,36546.0,-70.7076617266337,0.5479756045447218,2024-03,-1.285091747453635
轿车,其他能源,5-10万,1709804.0,2.8930710121806813,25.637029512203352,2024-03,1.2222496674667127
轿车,其他能源,50-55万,13682.0,135.45000860437102,0.20514973516611626,2024-03,0.11977222434590151
轿车,其他能源,55-60万,7826.0,-40.65367407295063,0.11734408912512981,2024-03,-0.07640453162623342
轿车,其他能源,5万以下,326.0,-90.74652284984388,0.004888087535751637,2024-03,-0.04687322215614589
轿车,其他能源,60万以上,87609.0,-8.442108123360537,1.3136210457658442,2024-03,-0.09225021182388016
轿车,新能源,10-15万,1399422.0,38.087546167425316,38.021045733485735,2024-03,2.1178206355821203
轿车,新能源,15-20万,299926.0,29.231657503317756,8.148721516927305,2024-03,-0.07341111333747286
轿车,新能源,20-25万,376862.0,29.43689787226735,10.239003915339977,2024-03,-0.07586064216825861
轿车,新能源,25-30万,216289.0,-12.852054507506471,5.876378934052698,2024-03,-2.9162056860628374
轿车,新能源,30-35万,52734.0,-27.22429996825879,1.4327356763789882,2024-03,-1.1343691327488103
轿车,新能源,35-40万,7450.0,13.221884498480252,0.2024098454322347,2024-03,-0.030702444545283064
轿车,新能源,40-45万,18562.0,101.06152512998267,0.5043129598541127,2024-03,0.1772472058917352
轿车,新能源,45-50万,2606.0,-94.10367219494535,0.070802692241128,2024-03,-1.4949820919741232
轿车,新能源,5-10万,765226.0,85.39562401726941,20.79050689674191,2024-03,6.167741391409024
轿车,新能源,50-55万,79.0,-99.55159495970031,0.0021463594347847703,2024-03,-0.6220135683500037
轿车,新能源,55-60万,283.0,-59.513590844062946,0.0076888572157479745,2024-03,-0.017074895169401708
轿车,新能源,5万以下,529977.0,13.881953009837256,14.399001698340863,2024-03,-2.087989006218004
轿车,新能源,60万以上,11235.0,26.179245283018872,0.3052449145545177,2024-03,-0.010200652308676617
MPV,其他能源,10-15万,61098.0,-31.548225909452476,9.420867519146881,2025-03,-2.0341597846730863
MPV,其他能源,15-20万,39717.0,-26.271139245205966,6.124072723459961,2025-03,-0.7893443287541819
MPV,其他能源,20-25万,79563.0,240.72630722453,12.26803630930445,2025-03,9.271225498146782
MPV,其他能源,25-30万,195815.0,-4.074324456724076,30.193249750593253,2025-03,3.9954430398212395
MPV,其他能源,30-35万,87876.0,-38.42769058295964,13.549840487619095,2025-03,-4.76649881127271
MPV,其他能源,35-40万,701.0,-97.22541064714031,0.10808910489577342,2025-03,-3.134359832789915
MPV,其他能源,40-45万,397.0,-93.86967263743051,0.0612145144702169,2025-03,-0.7698996482233322
