price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,recent_3m_sales,prior_3m_sales,growth_pct,total_sales,nev_sales,nev_penetration_pct,nev_model_sales,bev_model_sales,bev_route_pct,market_openness,nev_substitution_space,open_convertible_share,opportunity_profile
25-30万,轿车,新能源,216289.0,特斯拉MODEL 3（24.0%）、蔚来蔚来ET5（21.7%）、极氪极氪001（21.7%）,特斯拉MODEL 3,145848.0,67.43200070276343,蔚来蔚来ET5（21.7%）、比亚迪汉（2.6%）,24.36092450378891,2,100.0,48518.0,76780.0,-36.809064860640795,668889.0,216289.0,32.335559412697776,216289.0,208624.0,96.45613045508556,0.3256799929723657,0.6766444058730222,0.22036954534951644,头部锁死
30-35万,MPV,其他能源,142720.0,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,丰田赛那,115915.0,81.2184697309417,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,81.2184697309417,3,100.0,29517.0,37351.0,-20.97400337340366,148377.0,5657.0,3.8125855085356894,5657.0,2148.0,37.97065582464204,0.18781530269058289,0.9618741449146431,0.18065468367738927,头部锁死
30-35万,MPV,新能源,5657.0,岚图梦想家（43.0%）、迈克萨斯大家9（26.4%）、广汽传祺E9（19.0%）,岚图梦想家,5000.0,88.386070355312,无满足9个月暴露期车型,0.0,0,100.0,3663.0,796.0,360.1758793969849,148377.0,5657.0,3.8125855085356894,5657.0,2148.0,37.97065582464204,0.11613929644688004,0.9618741449146431,0.11171138646083098,头部锁死
30-35万,SUV,其他能源,380582.0,奥迪Q5（38.2%）、沃尔沃XC60（14.8%）、宝马X3（10.9%）,奥迪Q5,243238.0,63.912113552401316,奥迪Q5（38.2%）、沃尔沃XC60（14.8%）、大众途昂（8.8%）,61.81874077071433,3,100.0,89441.0,91382.0,-2.1240506883193677,812674.0,432092.0,53.169167464444534,432092.0,124651.0,28.848254538385344,0.3608788644759868,0.46830832535555467,0.16900257667896357,替代空间主导
30-35万,SUV,新能源,432092.0,理想理想L7（35.1%）、理想理想L8（17.0%）、蔚来蔚来ES6（14.2%）,理想理想L7,286376.0,66.27662627403423,理想理想L7（35.1%）、蔚来蔚来ES6（14.2%）、坦克坦克500（7.0%）,56.32527332142229,3,100.0,89477.0,146508.0,-38.92688453872826,812674.0,432092.0,53.169167464444534,432092.0,124651.0,28.848254538385344,0.33723373725965766,0.46830832535555467,0.1579293667494654,头部锁死
30-35万,跑车,其他能源,1338.0,斯巴鲁BRZ（54.0%）、福特Mustang（45.3%）、丰田86（0.7%）,斯巴鲁BRZ,1338.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,4.0,5.0,-19.999999999999996,2103.0,765.0,36.37660485021398,765.0,765.0,100.0,0.0,0.6362339514978602,0.0,头部锁死
30-35万,跑车,新能源,765.0,MGCyberster（100.0%）,MGCyberster,765.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,268.0,497.0,-46.076458752515094,2103.0,765.0,36.37660485021398,765.0,765.0,100.0,0.0,0.6362339514978602,0.0,头部锁死
30-35万,轿车,其他能源,121308.0,沃尔沃S90（30.6%）、宝马3系（21.5%）、奔驰C级（21.3%）,沃尔沃S90,89006.0,73.37191281696178,沃尔沃S90（30.6%）、奥迪A5（10.9%）、凯迪拉克CT6（6.9%）,48.400764994889045,3,100.0,13740.0,16852.0,-18.46665084262995,174042.0,52734.0,30.29958285930982,52734.0,48329.0,91.64675541396441,0.2662808718303822,0.6970041714069017,0.18559887843164294,头部锁死
30-35万,轿车,新能源,52734.0,极氪极氪001（44.2%）、阿维塔阿维塔12（20.3%）、蔚来蔚来ET5（14.5%）,极氪极氪001,41639.0,78.96044297796489,奔驰C级（8.3%）、岚图岚图追光（4.2%）、PolestarPolestar 2（1.8%）,14.341790874957333,3,100.0,11787.0,6070.0,94.18451400329488,174042.0,52734.0,30.29958285930982,52734.0,48329.0,91.64675541396441,0.21039557022035116,0.6970041714069017,0.14664659008911848,头部锁死
35-40万,MPV,其他能源,25265.0,丰田赛那（52.3%）、丰田格瑞维亚（46.3%）、红旗HQ9（1.4%）,丰田赛那,25265.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,355.0,,,98727.0,73462.0,74.40922949142586,73462.0,13310.0,18.118210775639106,0.0,0.25590770508574134,0.0,头部锁死
