freeze,body_type,fuel_type_group,price_bucket,share_delta_pp,gravity_delta,upper_band_growth_pct,CES_score,top3_price_position,receiver_tier,sales,val_sales,val_growth_pct,expanded
2024-03,轿车,其他能源,5万以下,-0.04687322215614589,-0.3432614308956623,2.8930710121806813,0.1199590459844397,9197.877888769774,非Receiver,326.0,,,False
2024-03,轿车,其他能源,60万以上,-0.09225021182388016,-0.3432614308956623,,,111420.33711825145,非Receiver,87609.0,62037.0,-29.18878197445468,False
2024-03,轿车,新能源,10-15万,2.1178206355821203,-1.5147391224795683,29.231657503317756,0.1602097172260074,24333.86379975959,非Receiver,1399422.0,1765556.0,26.163230247916648,True
2024-03,轿车,新能源,15-20万,-0.07341111333747286,-1.5147391224795683,29.43689787226735,0.2125822368421052,34403.549046697546,非Receiver,299926.0,493997.0,64.70629421924075,True
2024-03,轿车,新能源,20-25万,-0.07586064216825861,-1.5147391224795683,-12.852054507506471,0.560032894736842,44790.018053019485,非Receiver,376862.0,442149.0,17.323847986796224,True
2024-03,轿车,新能源,25-30万,-2.9162056860628374,-1.5147391224795683,-27.22429996825879,0.4275493421052632,54822.06434826761,非Receiver,216289.0,333096.0,54.00505804733482,True
2024-03,轿车,新能源,30-35万,-1.1343691327488103,-1.5147391224795683,13.221884498480252,,63142.6058663625,非Receiver,52734.0,14712.0,-72.101490499488,False
2024-03,轿车,新能源,35-40万,-0.030702444545283064,-1.5147391224795683,101.06152512998267,,75416.0910649309,非Receiver,7450.0,22626.0,203.70469798657717,True
2024-03,轿车,新能源,40-45万,0.1772472058917352,-1.5147391224795683,-94.10367219494535,,86434.84056207436,非Receiver,18562.0,23688.0,27.615558668246965,True
2024-03,轿车,新能源,45-50万,-1.4949820919741232,-1.5147391224795683,-99.55159495970031,,93602.7603639509,非Receiver,2606.0,,,False
2024-03,轿车,新能源,5-10万,6.167741391409024,-1.5147391224795683,38.087546167425316,0.4066072704251754,15835.655005182218,非Receiver,765226.0,1626002.0,112.48650725406613,True
2024-03,轿车,新能源,50-55万,-0.6220135683500037,-1.5147391224795683,-59.513590844062946,,109813.52999999996,非Receiver,79.0,82.0,3.797468354430378,False
2024-03,轿车,新能源,55-60万,-0.017074895169401708,-1.5147391224795683,26.179245283018872,,119273.1122826855,非Receiver,283.0,138.0,-51.23674911660777,False
2024-03,轿车,新能源,5万以下,-2.087989006218004,-1.5147391224795683,85.39562401726941,0.1199590459844397,8854.399582240843,非Receiver,529977.0,757107.0,42.85657679484205,True
2024-03,轿车,新能源,60万以上,-0.010200652308676617,-1.5147391224795683,,,92735.81357818858,非Receiver,11235.0,7559.0,-32.71918113039608,False
2025-03,MPV,其他能源,10-15万,-2.0341597846730863,-0.649865862755572,-26.271139245205966,,21833.543262525338,非Receiver,61098.0,52761.0,-13.645291171560448,False
2025-03,MPV,其他能源,15-20万,-0.7893443287541819,-0.649865862755572,240.72630722453,,33640.746660310404,非Receiver,39717.0,23285.0,-41.372711936953955,False
2025-03,MPV,其他能源,20-25万,9.271225498146782,-0.649865862755572,-4.074324456724076,,46647.92658176809,Receiver,79563.0,68706.0,-13.645790128577351,False
2025-03,MPV,其他能源,25-30万,3.9954430398212395,-0.649865862755572,-38.42769058295964,,56363.9318183159,Receiver,195815.0,213230.0,8.893598549651461,False
2025-03,MPV,其他能源,30-35万,-4.76649881127271,-0.649865862755572,-97.22541064714031,,61232.442165174114,非Receiver,87876.0,11508.0,-86.90427420456098,False
2025-03,MPV,其他能源,35-40万,-3.134359832789915,-0.649865862755572,-93.86967263743051,0.0724506578947368,76588.6140447136,非Receiver,701.0,670.0,-4.42225392296719,False
2025-03,MPV,其他能源,40-45万,-0.7698996482233322,-0.649865862755572,-12.618371212121215,,80854.53739354241,非Receiver,397.0,,,False
2025-03,MPV,其他能源,45-50万,0.02702743816152453,-0.649865862755572,-45.841505654550765,,96830.72704619693,非Receiver,3691.0,2593.0,-29.748035762665946,False
2025-03,MPV,其他能源,5-10万,-0.21804254248520039,-0.649865862755572,-31.548225909452476,,12062.218195119654,非Receiver,143923.0,123319.0,-14.315988410469483,False
2025-03,MPV,其他能源,50-55万,-1.0742401380860276,-0.649865862755572,-14.720812182741117,,104990.47727045561,非Receiver,12978.0,8198.0,-36.83156110340576,False
2025-03,MPV,其他能源,55-60万,0.004353130762696805,-0.649865862755572,-7.381642512077291,,116256.88958169066,非Receiver,1176.0,,,False
2025-03,MPV,其他能源,5万以下,-0.8110991832684602,-0.649865862755572,-17.57789905908359,,8390.211944560036,非Receiver,2432.0,1013.0,-58.347039473684205,False
2025-03,MPV,其他能源,60万以上,0.29959516266066766,-0.649865862755572,,,115288.57086205987,非Receiver,19172.0,17362.0,-9.4408512413937,False
2025-03,MPV,新能源,10-15万,3.3383530851143544,-3.7824713643373897,-78.11433447098976,,24815.678668710818,Receiver,21661.0,13233.0,-38.90863764369142,False
2025-03,MPV,新能源,15-20万,-2.7640176517398194,-3.7824713643373897,181.02861282144153,,37180.729691172695,非Receiver,1539.0,1131.0,-26.510721247563353,False
2025-03,MPV,新能源,20-25万,5.428824408159257,-3.7824713643373897,259.27189988623434,,46005.88144784896,非Receiver,38796.0,29964.0,-22.76523352922982,False
2025-03,MPV,新能源,25-30万,2.217411018956787,-3.7824713643373897,571.8578751988687,,57768.01772265856,非Receiver,12632.0,49232.0,289.7403419886004,True
2025-03,MPV,新能源,30-35万,8.933182063502922,-3.7824713643373897,104.38866352672132,,67462.60602079834,非Receiver,38007.0,201536.0,430.26021522351147,True
2025-03,MPV,新能源,35-40万,11.805577742983026,-3.7824713643373897,-69.00710045396346,0.0724506578947368,74419.42699459154,Receiver,150148.0,71275.0,-52.53017023203772,False
2025-03,MPV,新能源,40-45万,-31.393994056494414,-3.7824713643373897,,,80837.88639788235,非Receiver,26626.0,1839.0,-93.09321715616315,False
2025-03,MPV,新能源,45-50万,,-3.7824713643373897,-35.972968289724484,,96372.51704137835,非Receiver,22851.0,22836.0,-0.0656426414598954,False
2025-03,MPV,新能源,5-10万,0.9945872467466302,-3.7824713643373897,207.72837050717433,,19629.197864794347,非Receiver,3455.0,8463.0,144.94934876989868,True
2025-03,MPV,新能源,50-55万,-4.591302282780601,-3.7824713643373897,-64.58803611738149,,104745.28101655298,非Receiver,11085.0,18068.0,62.99503834009923,True
2025-03,MPV,新能源,55-60万,-1.24755948315272,-3.7824713643373897,512.1457489878543,,113535.41022407198,非Receiver,1255.0,,,False
2025-03,MPV,新能源,60万以上,0.3452946737933198,-3.7824713643373897,,,81794.0,非Receiver,1512.0,698.0,-53.835978835978835,False
2025-03,SUV,其他能源,10-15万,-1.956601830612037,-1.1139515214296125,-27.987660654678226,0.2350948206403651,26765.82223519311,非Receiver,2119964.0,2031246.0,-4.184882384795219,False
2025-03,SUV,其他能源,15-20万,-3.923010018924664,-1.1139515214296125,-22.907888639709697,0.5003266421767776,32954.38086865627,非Receiver,1080826.0,723136.0,-33.094133560813674,False
2025-03,SUV,其他能源,20-25万,-0.9122980024366969,-1.1139515214296125,32.20065970638921,0.4623355263157894,41429.6458260666,非Receiver,394293.0,340452.0,-13.655073764941294,False
2025-03,SUV,其他能源,25-30万,2.438836178737116,-1.1139515214296125,-43.15653394012329,0.2600328947368421,56240.87215301216,Strong Receiver,446476.0,349213.0,-21.78459760435051,False
2025-03,SUV,其他能源,30-35万,-1.9381041718203784,-1.1139515214296125,19.875582206331522,0.0600328947368421,63338.232516516175,非Receiver,216336.0,162236.0,-25.007395902669916,False
2025-03,SUV,其他能源,35-40万,0.6495704945466367,-1.1139515214296125,-54.546086412566574,,76007.49139794525,非Receiver,149534.0,110856.0,-25.86568940842885,False
2025-03,SUV,其他能源,40-45万,-0.8003519717852108,-1.1139515214296125,-43.79551869533401,,83886.8538244198,非Receiver,52317.0,18573.0,-64.49911118756809,False
2025-03,SUV,其他能源,45-50万,-0.29827022287348093,-1.1139515214296125,-23.4159201893406,,96149.47823633293,非Receiver,32258.0,38049.0,17.952135904271806,True
2025-03,SUV,其他能源,5-10万,7.066038597457759,-1.1139515214296125,-16.69706096739145,,17494.84392284555,Receiver,1355209.0,1317539.0,-2.7796450584374854,False
2025-03,SUV,其他能源,50-55万,-0.06230988709094143,-1.1139515214296125,199.9235698747722,0.3348684210526316,103267.26393012205,非Receiver,25563.0,12901.0,-49.532527481125065,False
2025-03,SUV,其他能源,55-60万,0.5889924390131481,-1.1139515214296125,-32.64884077300718,,118428.46279627536,非Receiver,51014.0,80479.0,57.75865448700357,True
2025-03,SUV,其他能源,5万以下,,-1.1139515214296125,29.248964737164364,,9980.0,非Receiver,6064.0,19224.0,217.01846965699207,True
2025-03,SUV,其他能源,60万以上,-0.9515810240789717,-1.1139515214296125,,,84405.9596106085,非Receiver,189871.0,138798.0,-26.89878917791553,False
2025-03,SUV,新能源,10-15万,14.373231524920826,-1.894527025624555,26.691097090902005,0.2350948206403651,24557.713791252678,非Receiver,1922807.0,1996984.0,3.8577454731546057,False
2025-03,SUV,新能源,15-20万,-3.148493380272928,-1.894527025624555,36.37010555153471,0.5003266421767776,33023.718685734406,非Receiver,1106648.0,958898.0,-13.351128814220958,False
2025-03,SUV,新能源,20-25万,-0.7378221265310607,-1.894527025624555,20.737521233034762,0.4623355263157894,47116.59276266088,非Receiver,561493.0,810860.0,44.41141741749228,True
2025-03,SUV,新能源,25-30万,-3.620114362786545,-1.894527025624555,-4.039186099256642,0.2600328947368421,52757.96896433857,非Receiver,926157.0,909403.0,-1.8089805508137435,False
