price_bucket,body_type,vehicle_level_group,fuel_type_group,sales,weighted_tp,active_months,share_pct,market_rank,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,concentration_label
40-45万,轿车,C,其他能源,185987.0,425124.45971227693,12,0.8323192276540119,32,奔驰E级（60.0%）、宝马5系（38.2%）、沃尔沃V90（0.8%）,奔驰E级,184143.0,99.00853285444681,沃尔沃V90（0.8%）,0.7753230064466871,1,100.0,高集中
25-30万,SUV,B,其他能源,180397.0,278657.9296508813,12,0.8073031540435662,33,丰田汉兰达（37.2%）、凯迪拉克XT5（15.3%）、福特锐界（12.4%）,丰田汉兰达,117087.0,64.90518135002245,丰田汉兰达（37.2%）、凯迪拉克XT5（15.3%）、福特锐界（12.4%）,64.90518135002245,3,100.0,高集中
15-20万,轿车,B,新能源,176753.0,168548.08226860082,12,0.7909957171497447,34,红旗E-QM5（44.6%）、比亚迪海豹（21.0%）、深蓝SL03（13.0%）,红旗E-QM5,138822.0,78.5401096445322,红旗E-QM5（44.6%）、深蓝SL03（13.0%）、大众迈腾（5.9%）,63.422403014375995,3,100.0,高集中
20-25万,SUV,B,其他能源,163024.0,226476.88994146496,12,0.729556419368384,35,大众途观（30.6%）、本田冠道（15.1%）、广汽传祺GS8（7.2%）,大众途观,86392.0,52.99342428108744,大众途观（30.6%）、本田冠道（15.1%）、广汽传祺GS8（7.2%）,52.99342428108744,3,100.0,高集中
25-30万,轿车,B,新能源,154033.0,269735.0356899597,12,0.6893203696668606,36,特斯拉MODEL 3（33.8%）、蔚来蔚来ET5（30.5%）、宝马i3（20.5%）,特斯拉MODEL 3,130531.0,84.74223056098369,蔚来蔚来ET5（30.5%）,30.503853070445942,1,100.0,高集中
其他,轿车,A,新能源,151489.0,0.0,12,0.6779355948430729,37,无可映射车型,无可映射车型,0.0,0.0,无满足9个月暴露期车型,0.0,0,0.0,低集中
5-10万,轿车,A,新能源,151017.0,96863.81469036924,5,0.6758233253002948,38,比亚迪秦（48.6%）、别克微蓝6（22.6%）、比亚迪驱逐舰05（21.3%）,比亚迪秦,139851.0,92.60613043564632,无满足9个月暴露期车型,0.0,0,100.0,高集中
30-35万,MPV,B,其他能源,142720.0,325725.10051234014,12,0.6386930278502292,39,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,丰田赛那,115915.0,81.2184697309417,丰田赛那（44.2%）、丰田格瑞维亚（26.5%）、广汽传祺M8（10.5%）,81.2184697309417,3,100.0,高集中
5-10万,MPV,A,其他能源,124305.0,62429.9710746854,12,0.5562831896505236,40,五菱五菱宏光（63.3%）、五菱佳辰（35.1%）、东风风光风光（1.1%）,五菱五菱宏光,123643.0,99.46743896062105,五菱五菱宏光（63.3%）、五菱佳辰（35.1%）,98.33956799806927,2,100.0,高集中
30-35万,SUV,B,新能源,116779.0,325463.6977637146,12,0.5226032307968184,41,蔚来蔚来ES6（52.5%）、宝马iX3（22.3%）、方程豹豹5（13.3%）,蔚来蔚来ES6,102863.0,88.08347391226162,蔚来蔚来ES6（52.5%）,52.49916508961372,1,100.0,高集中
5-10万,轿车,A00,新能源,116697.0,64558.15590775589,12,0.522236268715234,42,零跑零跑T03（34.2%）、奇瑞eQ（23.6%）、长安Lumin（6.7%）,零跑零跑T03,75162.0,64.40782539396899,零跑零跑T03（34.2%）、奇瑞eQ（23.6%）、五菱晴空（5.4%）,63.17043283032125,3,100.0,高集中
40-45万,SUV,B,其他能源,112692.0,435888.8272216629,12,0.5043133036329739,43,奔驰GLC级（90.4%）、宝马X4（6.3%）、雷克萨斯RX（2.1%）,奔驰GLC级,111372.0,98.82866574379725,奔驰GLC级（90.4%）、宝马X4（6.3%）,96.75753380896603,2,100.0,高集中
5-10万,轿车,A0,其他能源,108049.0,80375.11879656508,12,0.48353519455009397,44,本田飞度（40.4%）、大众POLO（31.2%）、丰田威驰（14.4%）,本田飞度,92961.0,86.03596516395339,本田飞度（40.4%）、大众POLO（31.2%）、本田LIFE（5.1%）,76.71334302029635,3,100.0,高集中
15-20万,轿车,A,其他能源,103069.0,171632.30616782958,12,0.4612489608148492,45,奥迪A3（61.0%）、奔驰A级（25.9%）、宝马1系（11.1%）,奥迪A3,101040.0,98.03141584763605,奥迪A3（61.0%）,61.03872163308075,1,100.0,高集中
35-40万,SUV,B,其他能源,99309.0,361147.18647937657,12,0.44442240683000567,46,宝马X3（80.4%）、奥迪Q5（8.6%）、雷克萨斯NX（8.6%）,宝马X3,96855.0,97.52892487085762,奥迪Q5（8.6%）、雷克萨斯NX（8.6%）、捷豹F-pace（1.5%）,18.664974977091703,3,100.0,高集中
10-15万,轿车,B,新能源,97756.0,140752.8928281614,12,0.4374725030165849,47,深蓝SL03（42.2%）、丰田bZ3（23.1%）、五菱星光（18.7%）,深蓝SL03,82149.0,84.0347395556283,深蓝SL03（42.2%）、北京汽车EU系列（0.7%）、威马E.5（0.1%）,43.019354310732844,3,100.0,高集中
5-10万,SUV,A0,新能源,94158.0,79081.63268524517,12,0.42137092290023737,48,吉利几何E（35.0%）、宝骏悦也（18.7%）、哪吒哪吒AYA（15.3%）,吉利几何E,65043.0,69.07857006308545,吉利几何E（35.0%）、宝骏悦也（18.7%）、哪吒哪吒V（12.3%）,66.06873552964167,3,100.0,高集中
15-20万,轿车,C,新能源,92136.0,175134.3343386452,12,0.4123221749860477,49,比亚迪汉（41.4%）、零跑零跑C01（22.6%）、启源A07（16.4%）,比亚迪汉,74057.0,80.37791959711731,零跑零跑C01（22.6%）、哪吒哪吒S（12.3%）,34.94182512807155,2,100.0,高集中
25-30万,SUV,C,其他能源,88264.0,273092.6553718448,12,0.39499440449952794,50,大众揽巡（39.5%）、大众揽境（20.6%）、大众途昂（20.2%）,大众揽巡,70849.0,80.26941901568023,大众揽巡（39.5%）、大众途昂（20.2%）、领克领克09（2.7%）,62.352714583522165,3,100.0,高集中
40-45万,SUV,D,新能源,86892.0,421540.57767787075,8,0.3888545023539946,51,理想理想L9（100.0%）,理想理想L9,86892.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,高集中
40-45万,MPV,B,新能源,85910.0,411149.06030583865,10,0.38445990766965515,52,腾势腾势D9（100.0%）,腾势腾势D9,85910.0,100.0,腾势腾势D9（100.0%）,100.0,1,100.0,高集中
60万以上,轿车,D,其他能源,82287.0,1113095.5298735143,12,0.36824644886989777,53,奔驰S级（27.1%）、保时捷PANAMERA（21.8%）、宝马7系（16.9%）,奔驰S级,54120.0,65.76980568011959,奔驰S级（27.1%）、保时捷PANAMERA（21.8%）、宝马7系（16.9%）,65.76980568011959,3,100.0,高集中
10-15万,MPV,B,其他能源,78737.0,119329.32515609868,12,0.35235967582569716,54,广汽传祺M6（65.7%）、迈克萨斯G50（13.1%）、东风风行风行游艇（6.7%）,广汽传祺M6,67292.0,85.46426711711139,广汽传祺M6（65.7%）、迈克萨斯G50（13.1%）、东风风行风行游艇（6.7%）,85.46426711711139,3,100.0,高集中
35-40万,MPV,B,新能源,73462.0,375545.9339842683,12,0.3287532736262159,55,岚图梦想家（32.5%）、腾势腾势D9（26.9%）、广汽传祺E9（24.1%）,岚图梦想家,61353.0,83.51664806294411,岚图梦想家（32.5%）、广汽传祺E9（24.1%）,56.58571778606627,2,100.0,高集中
30-35万,SUV,C,其他能源,69511.0,321961.3229563569,12,0.3110719665001211,56,大众途昂（48.1%）、凯迪拉克XT6（17.1%）、大众揽境（16.8%）,大众途昂,56965.0,81.95105810591129,大众途昂（48.1%）、凯迪拉克XT6（17.1%）,65.18248910244422,2,100.0,高集中
25-30万,SUV,A,其他能源,69065.0,265812.7355536059,12,0.3090760507880891,57,奔驰GLB级（87.1%）、宝马X1（6.8%）、雷克萨斯UX（3.9%）,奔驰GLB级,67603.0,97.88315355100268,奔驰GLB级（87.1%）,87.11793238253819,1,100.0,高集中
30-35万,轿车,B,其他能源,67953.0,326435.8297816505,12,0.3040996869500184,58,宝马3系（38.3%）、奔驰C级（38.1%）、奥迪A5（19.4%）,宝马3系,65107.0,95.81181110473416,奥迪A5（19.4%）、奥迪A4（2.6%）、沃尔沃V60（1.1%）,23.121863641046016,3,100.0,高集中
